"Main Device","Site","External service type","Company","Trade-in code","Additional Info","Device trade-in amount","Enhanced trade-in discount"
"SM-F721BZDPEUB","de","null","null","null","null","null","null"
"SM-F721BLVGEUB","de","null","null","null","null","null","null"
"SM-F721BLBGEUB","de","null","null","null","null","null","null"
"SM-F721BLBPEUB","de","null","null","null","null","null","null"
"SM-F721BZDGEUB","de","null","null","null","null","null","null"
"SM-F721BZAGEUB","de","null","null","null","null","null","null"
"EF-QF721C","de","null","null","null","null","null","null"
"SM-F721B7KHEUB","de","null","null","null","null","null","null"
"SM-F721B2OHEUB","de","null","null","null","null","null","null"
"SM-F721B2BHEUB","de","null","null","null","null","null","null"
"SM-F721B5PHEUB","de","null","null","null","null","null","null"
"SM-F721B7RHEUB","de","null","null","null","null","null","null"
"SM-F721B7THEUB","de","null","null","null","null","null","null"
"SM-F721B2WHEUB","de","null","null","null","null","null","null"
"SM-F721B2IHEUB","de","null","null","null","null","null","null"
"SM-F721B5HHEUB","de","null","null","null","null","null","null"
"SM-F721B5OHEUB","de","null","null","null","null","null","null"
"SM-F721B4YHEUB","de","null","null","null","null","null","null"
"SM-F721B4SHEUB","de","null","null","null","null","null","null"
"SM-F721B7MHEUB","de","null","null","null","null","null","null"
"SM-F721B7IHEUB","de","null","null","null","null","null","null"
"SM-F721B7XHEUB","de","null","null","null","null","null","null"
"SM-F721B7YHEUB","de","null","null","null","null","null","null"
"SM-F721B2DHEUB","de","null","null","null","null","null","null"
"SM-F721B7PHEUB","de","null","null","null","null","null","null"
"SM-F721B5CHEUB","de","null","null","null","null","null","null"
"SM-F721B4THEUB","de","null","null","null","null","null","null"
"SM-F721B1YHEUB","de","null","null","null","null","null","null"
"SM-F721B2KHEUB","de","null","null","null","null","null","null"
"SM-F721B5RHEUB","de","null","null","null","null","null","null"
"SM-F721B7BHEUB","de","null","null","null","null","null","null"
"SM-F721B7HHEUB","de","null","null","null","null","null","null"
"SM-F721B2HHEUB","de","null","null","null","null","null","null"
"SM-F721B2PHEUB","de","null","null","null","null","null","null"
